X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.2663781594376,39.8237215611498,10838,38th St & Lawndale Ave,10321,39.823714,-86.266373
-86.2824221653167,39.8234485603103,10839,38th St & Eagle Creek Pkwy,10322,39.823441,-86.282417
-86.2832341657683,39.8242735606204,10840,Eagle Creek Pkwy & Private Dr,10323,39.824266,-86.283229
-86.2833061653042,39.8264305610879,10841,Eagle Creek Pkwy & Parkdale Pl,10324,39.826423,-86.283301
-86.2833221657218,39.8278035617189,10842,Eagle Creek Pkwy & Eagle Highlands Way,10325,39.827796,-86.283317
-86.2839481658923,39.8292795607879,10843,Eagle Creek Pkwy & Shore Terrace,10326,39.829272,-86.283943
-86.2827961660578,39.829886561762,10844,Shore Terrace - 6900 W,10327,39.829879,-86.282791
-86.2805301650947,39.82814756101,10845,Eagle Highlands Way & Private Dr,10328,39.82814,-86.280525
-86.2834711657098,39.8276875607952,10846,Eagle Creek Pkwy & Eagle Highlands Way,10329,39.82768,-86.283466
-86.2834981661109,39.8263855608559,10847,Eagle Creek Pkwy & Private Dr,10330,39.826378,-86.283493
-86.2816511644601,39.8231565603598,10848,38th St & Shore Dr,10331,39.823149,-86.281646
-86.2692091603395,39.8234325605336,10849,38th St & High School Rd,10332,39.823425,-86.269204
-86.266141160292,39.823511561141,10850,38th St & Lawndale Ave,10333,39.823504,-86.266136
-86.2620021592884,39.8236235613799,10851,38th St & Kiel Ave,10334,39.823616,-86.261997
-86.2591251579811,39.8236825614824,10852,38th St - 5600 W,10335,39.823675,-86.25912
-86.2552561567993,39.8237375617122,10853,38th St & Moller Rd,10336,39.82373,-86.255251
-86.2499051559419,39.8238035625462,10854,38th St & Kevin Way,10337,39.823796,-86.2499
-86.2468471551738,39.8238485617854,10855,38th St & Gemco Ln,10338,39.823841,-86.246842
-86.2391181529391,39.8238925623516,10856,38th St & Georgetown Rd,10339,39.823885,-86.239113
-86.2330501509626,39.8219895626379,10857,Lafayette Rd & 37th St,10340,39.821982,-86.233045
-86.231330150508,39.8202165624057,10858,Lafayette Rd - 3574 N,10341,39.820209,-86.231325
-86.2296111494933,39.8184705620167,10859,Lafayette Rd - 3500 N,10342,39.818463,-86.229606
-86.2311561489015,39.8202255628602,10860,Lafayette Rd - 3600 N,10349,39.820218,-86.231151
-86.2331631504403,39.8222965626753,10861,Lafayette Rd 3750 N,10350,39.822289,-86.233158
-86.2205981468245,39.8235265637944,10862,38th St & Guion Rd,10351,39.823519,-86.220593
-86.1979511395014,39.8243845643949,10863,38th St & Cold Spring Rd,10352,39.824377,-86.197946
-86.184468137108,39.8245115658998,10864,38th St & Private Dr,10353,39.824504,-86.184463
-86.1714391329498,39.8247035655089,10865,38th St & Clarendon Rd,10355,39.824696,-86.171434
-86.1678011321051,39.8247305665405,10866,38th St & Rookwood Ave,10357,39.824723,-86.167796
-86.1635491305213,39.8247275668235,10867,38th St & Boulevard Pl,10359,39.82472,-86.163544
-86.159642128971,39.824960566404,10868,38th St & Kenwood Ave,10360,39.824953,-86.159637
-86.1631381308668,39.8249455666065,10869,38th St & Boulevard Pl,10361,39.824938,-86.163133
-86.2685241604577,39.8236585612529,10870,38th St & High School Rd,10362,39.823651,-86.268519
-86.243048153742,39.8238315628232,10871,38th St - 4945 W,10363,39.823824,-86.243043
-86.1606271293807,39.8247615663042,10872,38th St & Capitol Ave,10364,39.824754,-86.160622
-86.1582541290327,39.8247755664659,10873,38th St & Meridian St,10365,39.824768,-86.158249
-86.1542591222731,39.7710495569016,10874,Delaware St & New York St,10401,39.771042,-86.154254
-86.1541431227419,39.7737545578988,10875,Delaware St & Michigan St,10403,39.773747,-86.154138
-86.1522901229546,39.7758785574848,10876,Alabama St & North St,10405,39.775871,-86.152285
-86.1521731232483,39.7789645582812,10877,Alabama St & 09th St,10408,39.778957,-86.152168
-86.1520931227954,39.7808535588769,10878,Alabama St & Puryear St,10410,39.780846,-86.152088
-86.1521471235392,39.7843845591711,10879,Alabama St & 13th St,10412,39.784377,-86.152142
-86.1522051238739,39.7886915603801,10880,Alabama St & 16th St,10414,39.788684,-86.1522
-86.1522861247129,39.7930035608442,10881,Alabama St & 19th St,10416,39.792996,-86.152281
-86.1523301242736,39.7972645626293,10882,Alabama St & 22nd St,10418,39.797257,-86.152325
-86.149810124324,39.7973235626528,10883,22nd St & Central Ave,10419,39.797316,-86.149805
-86.1482001232436,39.7975745621191,10884,22nd St & Park Ave,10420,39.797567,-86.148195
-86.1446941221561,39.7979985626094,10885,College Ave & 22nd St,10422,39.797991,-86.144689
-86.1447341231353,39.8011745627018,10886,College Ave & 24th St,10424,39.801167,-86.144729
-86.1447241230215,39.8029375630156,10887,College Ave & 25th St,10425,39.80293,-86.144719
-86.1447401233312,39.806794563814,10888,College Ave & 28th St,10428,39.806787,-86.144735
-86.1448711235441,39.8102255647815,10889,College Ave & 30th St,10429,39.810218,-86.144866
-86.1439081234726,39.8103455651821,10890,30th St & Fall Creek Pkwy N Dr,10430,39.810338,-86.143903
-86.1415691225864,39.8110075649935,10891,Sutherland Ave & 30th St,10431,39.811,-86.141564
-86.1411391222527,39.8131065654232,10892,Sutherland Ave & 32nd St,10432,39.813099,-86.141134
-86.1408521225867,39.8142775658119,10893,Sutherland Ave & Private,10433,39.81427,-86.140847
-86.139290122534,39.815444566249,10894,Sutherland Ave & Guilford Ave,10434,39.815437,-86.139285
-86.1377161221265,39.8158855660995,10895,Sutherland Ave & Winthrop Ave,10435,39.815878,-86.137711
-86.1345721212556,39.8179155663812,10896,Sutherland Ave & 34th St,10436,39.817908,-86.134567
-86.1298091195211,39.8180555673661,10897,34th St & Schofield Ave,10439,39.818048,-86.129804
-86.1279261195672,39.8180495672553,10898,34th St & Orchard Ave,10440,39.818042,-86.127921
-86.1242381183489,39.8180745673332,10899,34th St & Baltimore Ave,10442,39.818067,-86.124233
-86.1211801169042,39.8180815671926,10900,34th St & Keystone Ave,10444,39.818074,-86.121175
-86.1183541161644,39.8181005676336,10901,34th St & Temple Ave,10446,39.818093,-86.118349
-86.1151961152152,39.8181105676916,10902,34th St & Oxford St,10448,39.818103,-86.115191
-86.112369114134,39.8181075677812,10903,34th St & Dearborn St,10450,39.8181,-86.112364
-86.1085571135257,39.8181355683379,10904,34th St & Adams St,10452,39.818128,-86.108552
-86.1058341131177,39.8180855680307,10905,34th St & Gale St,10454,39.818078,-86.105829
-86.1028821111622,39.8181565679874,10906,34th St & Sherman Dr,10456,39.818149,-86.102877
-86.0980801096435,39.8181945683289,10907,34th St & Forest Manor Ave,10458,39.818187,-86.098075
-86.0927081092557,39.8182525687415,10908,34th St & Drexel Ave,10461,39.818245,-86.092703
-86.0903981083163,39.8182745685111,10909,34th St & Arthington Blvd,10463,39.818267,-86.090393
-86.0879021076223,39.8183025684227,10910,34th St & Dequincy St,10465,39.818295,-86.087897
-86.0851401063122,39.8183325686356,10911,34th St & Bancroft St,10466,39.818325,-86.085135
-86.0831961062172,39.8183635693405,10912,34th St & Emerson Ave,10469,39.818356,-86.083191
-86.0803591052725,39.8183525695596,10913,34th St & Butler Ave,10470,39.818345,-86.080354
-86.0778781039953,39.8183365699229,10914,34th St & Downey Ave,10471,39.818329,-86.077873
-86.0733211034089,39.818349570218,10915,34th St & Layman Ave,10472,39.818342,-86.073316
-86.0679911013508,39.8183295704214,10916,34th St - 5851 E,10473,39.818322,-86.067986
-86.0642251004773,39.8183125698718,10917,34th St & Arlington Ave,10474,39.818305,-86.06422
-86.0586360985661,39.8183615705879,10918,34th St - 6600 E,10475,39.818354,-86.058631
-86.0549550969751,39.8183765701766,10919,34th St - 6700 E,10476,39.818369,-86.05495
-86.0527940969391,39.8183945700973,10920,34th St & Elizabeth St,10477,39.818387,-86.052789
-86.0510390972204,39.818400571056,10921,34th St & Edmondson Ave,10478,39.818393,-86.051034
-86.0464320946784,39.8183995715737,10922,34th St & Shadeland Ave,10479,39.818392,-86.046427
-86.0459310949606,39.8160595706466,10923,Shadeland Ave & 32nd St,10480,39.816052,-86.045926
-86.0459050948237,39.8137505699674,10924,Shadeland Ave - 3100 N,10481,39.813743,-86.0459
-86.0445150942003,39.8110235695337,10925,30th St & Shadeland Ave,10482,39.811016,-86.04451
-86.040102092575,39.8110485703742,10926,30th St & Elmhurst Dr,10483,39.811041,-86.040097
-86.0350220917948,39.8110545702859,10927,30th St & Richardt Av,10484,39.811047,-86.035017
-86.0299460903106,39.8110815705101,10928,30th St & Huber St,10486,39.811074,-86.029941
-86.0262760880349,39.8111095713504,10929,30th St & Franklin Rd,10487,39.811102,-86.026271
-86.0241550878824,39.811189570955,10930,30th St & Private Dr,10488,39.811182,-86.02415
-86.0185270860183,39.8112175710398,10931,30th St & Tobey Dr,10489,39.81121,-86.018522
-86.0141850857089,39.8112945711354,10932,30th St & Routiers Ave,10490,39.811287,-86.01418
-86.0119530842683,39.8112815717741,10933,30th St & Private Dr,10491,39.811274,-86.011948
-85.9907800780627,39.8052725709111,10934,Mitthoefer Rd & 25th St,10496,39.805265,-85.990775
-86.0096210842538,39.8118435719754,10935,Post Rd & 30th St,10515,39.811836,-86.009616
-86.0104000846735,39.8167245722362,10936,33rd St & Post Rd,10517,39.816717,-86.010395
-86.0152760856101,39.8166685721808,10937,33rd St & Mesilla Ct,10519,39.816661,-86.015271
-86.022542087614,39.8165645725113,10938,33rd St - Crossroads,10521,39.816557,-86.022537
-86.0268370891754,39.814203571965,10939,Franklin Rd & Bellwood Dr,10523,39.814196,-86.026832
-86.0268250891543,39.811908570655,10940,Franklin Rd & 30th St,10524,39.811901,-86.02682
-86.030075090749,39.8111525703726,10941,30th St & Huber St,10531,39.811145,-86.03007
-86.0360190907465,39.8110895707372,10942,30th St & Richardt Ave,10533,39.811082,-86.036014
-86.0400590925424,39.8111065699841,10943,30th St & Elmhurst Dr,10534,39.811099,-86.040054
-86.0453920943322,39.8111715700078,10944,30th St & Shadeland Ave,10535,39.811164,-86.045387
-86.0456120946131,39.8136305710183,10945,Shadeland Ave & Private Dr,10536,39.813623,-86.045607
-86.0456470950178,39.8161395706728,10946,Shadeland Ave & 33rd St,10537,39.816132,-86.045642
-86.0464150950509,39.8184815715042,10947,34th St & Shadeland Ave,10538,39.818474,-86.04641
-86.0510570966085,39.8184285710466,10948,34th St & Edmondson Ave,10539,39.818421,-86.051052
-86.0524020965732,39.8184295709003,10949,34th St & Elizabeth St,10540,39.818422,-86.052397
-86.054877097909,39.8184235707819,10950,34th St - 6700 E,10541,39.818416,-86.054872
-86.065343100565,39.8184075701948,10951,34th St & Arlington Ave,10542,39.8184,-86.065338
-86.0681661016184,39.8184195701293,10952,34th St & Private Dr,10543,39.818412,-86.068161
-86.0728121021777,39.8184065697765,10953,34th St & Layman Ave,10544,39.818399,-86.072807
-86.0776151039037,39.8184225694867,10954,34th St & Downey Ave,10545,39.818415,-86.07761
-86.0804561051861,39.8184315694573,10955,34th St & Butler Ave,10546,39.818424,-86.080451
-86.082912105417,39.8184385689917,10956,34th St & Emerson Ave,10550,39.818431,-86.082907
-86.0848811069639,39.8184265691121,10957,34th St & Bancroft St,10551,39.818419,-86.084876
-86.0887791077536,39.8183905690324,10958,34th St & Wallace Ave,10553,39.818383,-86.088774
-86.0924271094646,39.8183525689437,10959,34th St & Drexel Ave,10555,39.818345,-86.092422
-86.0976891096307,39.8183055686245,10960,34th St & Forest Manor Ave,10559,39.818298,-86.097684
-86.1024951123873,39.8182575683436,10961,34th St & Sherman Dr,10561,39.81825,-86.10249
-86.1082401132762,39.8182275684888,10962,34th St & Adams St,10565,39.81822,-86.108235
-86.1120421150881,39.8182105680084,10963,34th St & Dearborn St,10567,39.818203,-86.112037
-86.1148831155693,39.8182105675918,10964,34th St & Oxford St,10569,39.818203,-86.114878
-86.1182581169828,39.8181995677413,10965,34th St & Temple Ave,10571,39.818192,-86.118253
-86.1220031172709,39.8181655678621,10966,34th St & Keystone Ave,10573,39.818158,-86.121998
-86.1238541181104,39.8181665671838,10967,34th St & Baltimore Ave,10575,39.818159,-86.123849
-86.1267841190068,39.8181415668258,10968,34th St & Nicholas Ave,10576,39.818134,-86.126779
-86.1295471201626,39.8181525669841,10969,34th St & Schofield Ave,10578,39.818145,-86.129542
-86.1348311216499,39.8177965667874,10970,Sutherland Ave & 34th St,10581,39.817789,-86.134826
